file name, mutants, tests, cores, total time, original time, mutants time, mutation score, TS size, lines, algorithm, optimizations
factorial, m31, t100, w2, 27663, 270, 25465, 1.304348, 403, 18, a2, 001101
primes, m68, t100, w2, 11181, 553, 5523, 0.842105, 398, 30, a5, 000111
add, m12, t100, w2, 1393, 287, 315, 1.100000, 583, 13, a4, 010100
massive, m49, t60, w2, 57420, 9829, 44920, 1.179487, 169, 13, a2, 011100
factorial, m31, t100, w2, 27594, 329, 25501, 0.967742, 403, 18, a4, 110000
massive, m49, t60, w2, 56909, 10008, 45488, 0.959184, 169, 13, a4, 001011
factorial, m31, t100, w2, 27757, 290, 25520, 1.304348, 403, 18, a3, 011101
genPassword, m49, t100, w2, 9569, 382, 6951, 0.836735, 398, 63, a2, 101011
primes, m68, t100, w2, 41487, 1837, 28343, 1.378378, 398, 30, a4, 100100
genPassword, m49, t100, w2, 11213, 341, 6833, 0.836735, 398, 63, a4, 011001
primes, m68, t100, w2, 22716, 1019, 12396, 0.750000, 398, 30, a2, 110001
add, m20, t999, w2, 851376984, 9074, 12975, 1.055556, 583, 13, a4, 100100
primes, m68, t100, w2, 35204, 1198, 29727, 0.750000, 398, 30, a4, 110011
factorial, m31, t100, w2, 26890, 368, 25555, 0.967742, 403, 18, a3, 101010
genPassword, m49, t100, w2, 9496, 387, 7112, 0.836735, 398, 63, a3, 000011
genPassword, m49, t100, w2, 9206, 306, 6736, 0.836735, 398, 63, a5, 000010
gcd, m65, t150, w2, 24421, 610, 21491, 0.769231, 1495, 19, a3, 110011
factorial, m31, t100, w2, 26776, 281, 25566, 0.967742, 403, 18, a2, 000011
massive, m49, t60, w2, 47142, 9936, 34806, 0.959184, 169, 13, a4, 110000
gcd, m65, t150, w2, 26532, 783, 20884, 1.041667, 1495, 19, a3, 111101
massive, m49, t60, w2, 51563, 9686, 40095, 0.948718, 169, 13, a5, 000110
anagram, m60, t100, w2, 10060, 252, 7980, 0.866667, 1370, 37, a4, 001011
factorial, m31, t100, w2, 27808, 310, 25555, 1.304348, 403, 18, a2, 100101
anagram, m60, t100, w2, 9812, 279, 7638, 0.866667, 1370, 37, a5, 011010
add, m12, t100, w2, 1350, 288, 305, 0.916667, 583, 13, a2, 101000
massive, m49, t60, w2, 55765, 9805, 44626, 0.959184, 169, 13, a4, 000011
primes, m68, t100, w2, 17668, 551, 12157, 1.342105, 398, 30, a2, 001111
anagram, m60, t100, w2, 11969, 261, 7686, 1.625000, 1370, 37, a2, 001100
anagram, m60, t100, w2, 11310, 218, 7623, 0.866667, 1370, 37, a5, 000000
add, m20, t999, w2, 851498791, 4425, 3251, 0.944444, 583, 13, a5, 010100
genPassword, m49, t100, w2, 9544, 361, 7100, 0.836735, 398, 63, a3, 001010
add, m12, t100, w2, 1361, 260, 286, 1.100000, 583, 13, a3, 111101
primes, m68, t100, w2, 24220, 426, 12554, 1.378378, 398, 30, a3, 001100
genPassword, m49, t100, w2, 11393, 424, 7043, 0.836735, 398, 63, a3, 010001
gcd, m65, t150, w2, 26378, 580, 21384, 0.769231, 1495, 19, a3, 011001
anagram, m60, t100, w2, 9898, 272, 7766, 0.866667, 1370, 37, a4, 000011
primes, m68, t100, w2, 18746, 1428, 12338, 1.378378, 398, 30, a2, 111110
genPassword, m49, t100, w2, 9381, 411, 6771, 0.836735, 398, 63, a2, 110010
genPassword, m49, t100, w2, 9324, 373, 6759, 0.836735, 398, 63, a5, 110011
massive, m49, t60, w2, 57874, 9870, 45259, 1.179487, 169, 13, a3, 111100
anagram, m60, t100, w2, 10292, 282, 7722, 1.575758, 1370, 37, a3, 011111
genPassword, m49, t100, w2, 8554, 297, 5846, 0.789474, 398, 63, a5, 111111
genPassword, m49, t100, w2, 7941, 368, 5032, 0.810811, 398, 63, a5, 000110
genPassword, m49, t100, w2, 11505, 362, 6953, 1.078947, 398, 63, a2, 101101
gcd, m65, t150, w2, 24055, 563, 21090, 0.769231, 1495, 19, a4, 110010
add, m12, t100, w2, 1486, 302, 332, 1.100000, 583, 13, a3, 101101
add, m12, t100, w2, 1404, 293, 327, 1.100000, 583, 13, a4, 111101
anagram, m60, t100, w2, 10271, 258, 7777, 1.625000, 1370, 37, a4, 000110
genPassword, m49, t100, w2, 9571, 388, 7104, 0.836735, 398, 63, a4, 010010
factorial, m31, t100, w2, 26941, 272, 25525, 1.304348, 403, 18, a4, 110111
add, m12, t100, w2, 1088, 284, 373, 0.916667, 583, 13, a2, 110011
anagram, m60, t100, w2, 10051, 341, 7870, 0.866667, 1370, 37, a2, 111011
add, m12, t100, w2, 1396, 253, 286, 1.100000, 583, 13, a3, 011100
massive, m49, t60, w2, 64666, 11295, 48268, 0.959184, 169, 13, a4, 000000
massive, m49, t60, w2, 47547, 9929, 35192, 0.959184, 169, 13, a5, 011001
factorial, m31, t100, w2, 26865, 251, 25476, 1.304348, 403, 18, a3, 000111
factorial, m31, t100, w2, 27542, 265, 25459, 0.967742, 403, 18, a2, 000001
add, m12, t100, w2, 1011, 246, 288, 0.900000, 583, 13, a5, 011111
genPassword, m49, t100, w2, 9438, 405, 6850, 0.836735, 398, 63, a5, 100011
massive, m49, t60, w2, 56257, 9583, 45254, 0.959184, 169, 13, a4, 100011
gcd, m65, t150, w2, 14747, 568, 11181, 0.829787, 1495, 19, a5, 010110
primes, m68, t100, w2, 24522, 534, 12795, 1.342105, 398, 30, a3, 000101
factorial, m31, t100, w2, 27661, 271, 25515, 0.967742, 403, 18, a3, 010000
gcd, m65, t150, w2, 26370, 662, 21374, 0.769231, 1495, 19, a3, 001000
add, m20, t999, w2, 850802049, 4248, 4457, 0.900000, 583, 13, a5, 001000
add, m12, t100, w2, 1298, 244, 321, 0.916667, 583, 13, a4, 011001
anagram, m60, t100, w2, 11377, 256, 7595, 0.866667, 1370, 37, a2, 000001
anagram, m60, t100, w2, 11967, 379, 7715, 0.866667, 1370, 37, a2, 100000
primes, m68, t100, w2, 18005, 919, 12960, 0.750000, 398, 30, a5, 101010
factorial, m31, t100, w2, 27741, 291, 25498, 1.304348, 403, 18, a2, 010101
genPassword, m49, t100, w2, 9381, 393, 6863, 0.836735, 398, 63, a2, 101010
massive, m49, t60, w2, 55818, 9931, 44517, 0.938776, 169, 13, a3, 010010
factorial, m31, t100, w2, 27640, 277, 25517, 0.967742, 403, 18, a5, 101001
massive, m49, t60, w2, 45751, 9856, 34394, 0.959184, 169, 13, a4, 011010
primes, m68, t100, w2, 16950, 461, 12471, 0.750000, 398, 30, a5, 001010
factorial, m31, t100, w2, 27757, 277, 25491, 1.363636, 403, 18, a4, 100100
factorial, m31, t100, w2, 27075, 297, 25771, 0.967742, 403, 18, a4, 110010
anagram, m60, t100, w2, 11632, 331, 7700, 0.866667, 1370, 37, a2, 111000
add, m12, t100, w2, 1089, 317, 390, 0.916667, 583, 13, a5, 111010
gcd, m65, t150, w2, 24826, 664, 21742, 0.769231, 1495, 19, a3, 001011
massive, m49, t60, w2, 57460, 9650, 45209, 1.179487, 169, 13, a2, 101100
gcd, m65, t150, w2, 26145, 584, 21213, 0.769231, 1495, 19, a2, 010001
factorial, m31, t100, w2, 27582, 286, 25513, 0.967742, 403, 18, a5, 011000
factorial, m31, t100, w2, 27723, 299, 25584, 1.363636, 403, 18, a2, 111100
add, m12, t100, w2, 1068, 272, 354, 0.916667, 583, 13, a4, 011010
anagram, m60, t100, w2, 11691, 260, 7557, 0.866667, 1370, 37, a4, 010001
gcd, m65, t150, w2, 24065, 637, 21104, 0.769231, 1495, 19, a3, 111010
massive, m49, t60, w2, 42416, 9956, 29814, 0.948718, 169, 13, a5, 111100
massive, m49, t60, w2, 56151, 9930, 44553, 1.533333, 169, 13, a3, 001111
massive, m49, t60, w2, 47303, 9953, 34566, 1.205128, 169, 13, a4, 010100
anagram, m60, t100, w2, 12394, 353, 8126, 0.866667, 1370, 37, a4, 110001
massive, m49, t60, w2, 57688, 9956, 45009, 1.179487, 169, 13, a3, 011100
add, m12, t100, w2, 1121, 280, 340, 1.100000, 583, 13, a4, 111110
add, m20, t999, w2, 851478228, 3193, 3257, 1.636364, 583, 13, a5, 011000
add, m20, t999, w2, 851011220, 16207, 4932, 1.636364, 583, 13, a5, 110000
factorial, m31, t100, w2, 27742, 303, 25459, 1.304348, 403, 18, a3, 111101
massive, m49, t60, w2, 41678, 9751, 29189, 0.948718, 169, 13, a5, 110100
factorial, m31, t100, w2, 11702, 298, 10224, 1.000000, 403, 18, a5, 101110
add, m12, t100, w2, 1339, 269, 304, 0.900000, 583, 13, a5, 110100
primes, m68, t100, w2, 23290, 429, 13124, 1.342105, 398, 30, a2, 001101
primes, m68, t100, w2, 27357, 513, 22369, 0.750000, 398, 30, a4, 000010
anagram, m60, t100, w2, 8775, 274, 6252, 1.625000, 1370, 37, a4, 011110
gcd, m65, t150, w2, 26116, 646, 21146, 0.769231, 1495, 19, a5, 110000
gcd, m65, t150, w2, 25793, 727, 22257, 1.063830, 1495, 19, a4, 000110
genPassword, m49, t100, w2, 9750, 454, 7064, 0.836735, 398, 63, a4, 111010
gcd, m65, t150, w2, 17748, 625, 12389, 0.829787, 1495, 19, a5, 111100
genPassword, m49, t100, w2, 9412, 320, 6946, 0.836735, 398, 63, a5, 101010
gcd, m65, t150, w2, 26917, 778, 21493, 1.041667, 1495, 19, a3, 101101
gcd, m65, t150, w2, 24751, 633, 21664, 0.769231, 1495, 19, a5, 011010
