file name, mutants, tests, cores, compilation time, original time, mutants time, total time, time per mutant, mutation score, ts size, lines, algorithm, optimizations
squareMatrix, m182, t50, w4, 14012, 48, 23080, 37229, 126.8132, 1.0, 903, 72, a3, 100001
longestIncrease, m114, t50, w8, 10712, 2343, 24847, 38000, 217.9561, 0.9035, 1946, 70, a3, 100000
parg, m2509, t52, w2, 450648, 175, 2545, 460252, 1.0143, 1.0, 418, 2518, a5, 000111
anagram, m60, t100, w4, 3261, 305, 5829, 9539, 97.15, 0.8857, 1370, 37, a5, 000101
transpose, m149, t50, w8, 3856, 133, 12424, 16500, 83.3826, 0.8993, 903, 40, a5, 001011
parg, m2509, t52, w2, 512485, 176, 8671, 521917, 3.456, 1.0, 418, 2518, a3, 110001
mergeSort, m226, t50, w8, 7008, 129, 70781, 78016, 313.1903, 0.9336, 1900, 129, a4, 010011
add, m12, t100, w2, 623, 308, 362, 1400, 30.1667, 0.9167, 583, 13, a3, 110101
dictionaryOrder, m71, t100, w2, 3686, 320, 34095, 38619, 480.2113, 0.9265, 8248, 32, a4, 000100
massive, m49, t60, w8, 1694, 114433, 114429, 230602, 2335.2857, 0.9388, 169, 13, a3, 011001
quickSort, m127, t50, w2, 6774, 162, 87115, 94159, 685.9449, 0.9528, 1900, 56, a5, 111010
maxArrSumNeg, m112, t50, w4, 7754, 143, 20495, 28465, 182.9911, 0.9107, 1910, 63, a2, 001001
parg, m2509, t52, w8, 444249, 103, 848, 456466, 0.338, 1.0, 418, 2518, a5, 001110
dictionaryOrder, m71, t100, w8, 3343, 39, 5003, 8499, 70.4648, 0.9265, 8248, 32, a3, 110101
primes, m68, t100, w4, 3545, 295, 2531, 6516, 37.2206, 0.8793, 398, 30, a3, 011101
mergeSort, m226, t50, w8, 6991, 20, 14050, 21154, 62.1681, 0.9336, 1900, 129, a5, 100010
huffmanCodingEff, m199, t50, w4, 31074, 48, 13723, 45219, 68.9598, 0.849, 1874, 239, a3, 111101
dictionaryOrder, m71, t100, w8, 3500, 39, 5002, 8615, 70.4507, 0.8873, 8248, 32, a5, 111000
dictionaryOrder, m71, t100, w8, 1155, 256, 10007, 11491, 140.9437, 0.8873, 8248, 32, a4, 011011
selectSort, m92, t50, w2, 3064, 159, 40188, 43479, 436.8261, 0.8804, 1900, 45, a3, 001010
maxArrSumNeg, m112, t50, w8, 7839, 149, 64132, 72641, 572.6071, 0.9358, 1910, 63, a4, 000100
transpose, m149, t50, w4, 11930, 146, 20701, 32863, 138.9329, 0.8993, 903, 40, a2, 011000
insertSort, m108, t50, w4, 2358, 149, 12372, 14946, 114.5556, 0.9444, 1900, 40, a3, 011010
dictionaryOrder, m71, t100, w2, 1917, 323, 33722, 36029, 474.9577, 0.8873, 8248, 32, a2, 010011
factorial, m31, t100, w2, 1603, 319, 19556, 21741, 630.8387, 0.9677, 403, 18, a2, 111100
longestIncrease, m114, t50, w2, 9992, 9487, 132305, 151876, 1160.5702, 0.9035, 1946, 70, a3, 001001
primes, m68, t100, w2, 3666, 310, 6973, 11010, 102.5441, 0.75, 398, 30, a5, 110001
anagram, m60, t100, w8, 3108, 290, 5258, 8749, 87.6333, 0.8857, 1370, 37, a5, 001101
insertSort, m108, t50, w8, 2365, 22, 6297, 8754, 58.3056, 0.9444, 1900, 40, a2, 101011
insertSort, m108, t50, w4, 2340, 159, 12354, 14926, 114.3889, 0.9444, 1900, 40, a2, 011010
quickSort, m127, t50, w2, 6870, 158, 86918, 94062, 684.3937, 0.9528, 1900, 56, a2, 011010
add, m12, t100, w2, 272, 321, 345, 1061, 28.75, 0.9167, 583, 13, a2, 001110
huffmanCodingEff, m199, t50, w8, 10813, 18, 39153, 50449, 196.7487, 0.849, 1874, 239, a4, 110111
insertSort, m108, t50, w2, 3581, 161, 36854, 40665, 341.2407, 0.9444, 1900, 40, a2, 101010
bubbleSort, m113, t50, w8, 2469, 137, 74783, 77460, 661.7965, 0.8938, 1900, 41, a2, 010010
factorial, m31, t100, w4, 1590, 292, 15210, 17211, 490.6452, 0.9677, 403, 18, a4, 001101
squareMatrix, m182, t50, w8, 4757, 149, 14301, 19294, 78.5769, 1.0, 903, 72, a5, 000011
longestIncrease, m114, t50, w8, 3254, 2264, 28148, 33765, 246.9123, 0.9035, 1946, 70, a4, 110011
parg, m2509, t52, w8, 553450, 112, 817, 554991, 0.3256, 1.0, 418, 2518, a3, 010000
huffmanCodingEff, m199, t50, w2, 15372, 160, 32586, 48839, 163.7487, 0.8027, 1874, 239, a5, 101111
insertSort, m108, t50, w8, 7261, 150, 6315, 13847, 58.4722, 0.9444, 1900, 40, a2, 010101
factorial, m31, t100, w4, 495, 291, 7032, 7952, 226.8387, 0.9677, 403, 18, a2, 000111
primes, m68, t100, w8, 1111, 275, 880, 2372, 12.9412, 0.8793, 398, 30, a2, 000111
quickSort, m127, t50, w4, 13777, 155, 24242, 38285, 190.8819, 0.9528, 1900, 56, a5, 011000
add, m12, t100, w8, 584, 260, 238, 1151, 19.8333, 0.9167, 583, 13, a3, 011000
huffmanCoding, m314, t50, w2, 52345, 164, 122159, 174839, 389.0414, 0.9013, 1874, 318, a5, 011001
anagram, m60, t100, w2, 1609, 316, 8111, 10484, 135.1833, 0.9286, 1370, 37, a3, 111110
factorial, m31, t100, w8, 1474, 258, 5082, 7008, 163.9355, 0.9677, 403, 18, a3, 001100
bubbleSort, m113, t50, w2, 3687, 161, 219401, 223814, 1941.6018, 0.9182, 1900, 41, a4, 100111
squareMatrix, m182, t50, w4, 4695, 151, 23085, 29053, 126.8407, 1.0, 903, 72, a2, 011110
squareMatrix, m182, t50, w2, 14605, 160, 69348, 85229, 381.033, 1.0, 903, 72, a4, 001100
minProd, m181, t50, w2, 13193, 160, 15975, 29940, 88.2597, 0.8659, 1946, 72, a2, 100101
massive, m49, t60, w8, 611, 114215, 114269, 229172, 2332.0204, 0.9388, 169, 13, a3, 011111
quickSort, m127, t50, w2, 13258, 160, 86852, 100382, 683.874, 0.9528, 1900, 56, a3, 101000
massive, m49, t60, w2, 1064, 111577, 347333, 460172, 7088.4286, 0.9388, 169, 13, a3, 111111
factorial, m31, t100, w2, 792, 318, 19613, 20889, 632.6774, 0.9677, 403, 18, a3, 010111
genPassword, m49, t100, w2, 1514, 315, 5556, 7616, 113.3878, 0.8367, 398, 63, a3, 111111
massive, m49, t60, w8, 1711, 114744, 51783, 168284, 1056.7959, 1.0, 169, 13, a5, 010001
genPassword, m49, t100, w8, 959, 272, 884, 2188, 18.0408, 0.8367, 398, 63, a4, 011011
selectSort, m92, t50, w8, 2046, 148, 5907, 8171, 64.2065, 0.8804, 1900, 45, a3, 001010
parg, m2509, t52, w4, 535373, 174, 808, 539211, 0.322, 1.0, 418, 2518, a5, 000101
selectSort, m92, t50, w8, 2288, 143, 16924, 19760, 183.9565, 0.8804, 1900, 45, a4, 011110
minProd, m181, t50, w4, 4508, 51, 8585, 13390, 47.4309, 0.7845, 1946, 72, a4, 101111
quickSort, m127, t50, w4, 4632, 48, 22236, 27187, 175.0866, 0.9419, 1900, 56, a5, 101111
longestIncrease, m114, t50, w2, 4827, 9457, 129658, 144037, 1137.3509, 0.9035, 1946, 70, a5, 010011
